day,month_cos,month_sin,tod_id,start_station_id,end_station_id,direction_id,hour,min,link_load,output
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,8,30,,59774.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,8,45,,54967.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,9,0,,37411.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,9,15,,35948.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,9,30,,27170.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,9,45,,21318.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,10,0,,19228.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,10,15,,16720.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,10,30,,16929.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,10,45,,13376.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,11,0,,13376.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,11,15,,12958.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,11,30,,14003.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,11,45,,11077.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,12,0,,11286.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,12,15,,11286.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,12,30,,12540.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,12,45,,10032.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,13,0,,10241.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,13,15,,9823.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,13,30,,10868.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,13,45,,8569.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,14,0,,8987.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,14,15,,9196.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,14,30,,11077.0
